name, description, start_date, start_time, end_date, end_time
CSSC's Games & Tips for First Years, A series of games and fun puzzles for our first years!, 2020-09-10, 19:00, 2020-09-10, 20:00
Test Event, This is a test event, 2020-9-10, 13:00, 2020-10-17, 20:00
